Ticker,Frequency,Name,Percentage
BIOC,2124,BioCryst Pharmaceuti,0.01091939114215289
BLCM,3218,Biocept Inc,0.016543597314241057
BVXV,1272,Bellicum Pharmaceuti,0.006539296390215856
DVAX,9319,BiondVax Pharmaceuti,0.04790857158838173
ELOS,354,Dynavax Technologies,0.0018198985236921484
FNJN,1935,Syneron Medical Ltd.,0.009947750404927421
HMNY,4320,,0.02220893113658215
IDXG,6906,Helios and Matheson ,0.035503444080841745
INFI,1344,Interpace Diagnostic,0.006909445242492224
MDGS,397,Infinity Pharmaceuti,0.0020409596438016467
MTNB,1223,,0.006287389532416659
NVCR,2151,Matinas BioPharma Ho,0.01105819696175653
ONCS,1708,Novocure Ltd,0.008780753329000536
SRRA,3396,OncoSec Medical Inc,0.017458687532368747
KSS,5875,,0.0302031181544954
M,17509,Kohl's Corporation,0.09001300353481873
PLUG,9514,Macy's Inc,0.048911058063296896
SAGE,2755,Plug Power Inc,0.014163334555852738
URRE,1406,SAGE Therapeutics In,0.00722818453195243
ACRX,2592,"Uranium Resources, I",0.013325358681949291
AFSI,2059,AcelRx Pharmaceutica,0.010585228983847835
AMPE,1366,AmTrust Financial Se,0.007022546280687782
AVGO,16681,Ampio Pharmaceutical,0.08575629173364047
BSTG,3223,Broadcom Ltd,0.016569302095649135
CEMP,1791,Biostage Inc,0.009207452700374683
GOGO,1717,Cempra Inc,0.00882702193553508
IRM,2200,Gogo Inc,0.011310103819555724
MSTX,136,,0.0006991700542998084
NVFY,194,,0.0009973455186335501
PERI,409,Nova Lifestyle Inc,0.0021026511191810414
PPHM,10035,Perion Network Ltd,0.05158949628601895
PSID,1904,Peregrine Pharmaceut,0.009788380760197318
SFM,5849,PositiveID Corp,0.03006945329117338
URBN,5119,Sprouts Farmers Mark,0.026316555205593523
USPH,1209,"Urban Outfitters, In",0.006215416144474032
ARCH,1107,U.S. Physical Therap,0.005691038603749176
A,9714,,0.04993924931962014
AT,2792,Agilent Technologies,0.014353549938272538
BORN,1061,Atlantic Power Corp,0.005454554614794829
CUB,1182,China New Borun Corp,0.006076610324870394
EARN,957,Cubic Corporation,0.004919895161506741
FOR,3070,Ellington Residentia,0.015782735784561852
I,4934,Forestar Group Inc.,0.02536547829349452
MEN,1050,Intelsat SA,0.005398004095697051
MMM,9654,Blackrock MuniEnhanc,0.04963079194272317
OUT,2757,3M Co,0.01417361646841597
TEN,2358,Outfront Media Inc,0.012122374912051091
Bns,98,Tenneco Inc,0.0005038137155983914
PGNX,1546,,0.007947918411378704
